индонезийский контекст	русский контекст	русская конструкция	английский контекст	английская конструкция																						
Mr Dursley bersenandung ketika dia mengambil dasinya yang sangat membosankan untuk dipakainya bekerja, dan Mrs Dursley bergosip riang seraya berkutat dengan Dudley yang menjerit-jerit dan mendudukkan anak itu di kursinya yang tinggi.	Мистер Дурсль что-то напевал себе под нос, завязывая самый отвратительный из своих галстуков. А миссис Дурсль, с трудом усадив сопротивляющегося и орущего Дадли на высокий детский стульчик, со счастливой улыбкой пересказывала мужу последние сплетни.	актив	Mr Dursley hummed as he picked out his most boring tie for work and Mrs Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.	актив																						
Selama mengendarai mobilnya ke kota, yang dipikirkannya hanyalah pesanan bor dalam jumlah besar yang akan didapatnya hari itu.	И пока его автомобиль ехал к Лондону из пригорода, мистер Дурсль думал о крупном заказе на дрели, который рассчитывал сегодня получить.	актив	As he drove towards town he thought of nothing except a large order of drills he was hoping to get that day.	актив																						
"Maaf," gumamnya, ketika laki-laki tua yang ditabraknya terhuyung nyaris jatuh.	– Извините, – пробурчал он, видя, как маленький старикашка пошатнулся и едва не упал.	актив	‘Sorry,’ he grunted, as the tiny old man stumbled and almost fell.	актив																						
Ketika mobilnya meluncur masuk ke pekarangan rumah nomor empat, yang pertama kali dilihatnya—dan ini tidak membuatnya bertambah lega—adalah kucing betina yang telah dilihatnya pagi tadi.	Когда он свернул с Тисовой улицы на дорожку, ведущую к дому номер четыре, он сразу заметил уже знакомую полосатую кошку.	актив	As he pulled into the driveway of number four, the first thing he saw – and it didn’t improve his mood – was the tabby cat he’d spotted that morning.	актив																						
Dia sudah menemukan apa yang dicarinya di kantong sebelah dalam.	Наконец во внутреннем кармане он нашел то, что искал.	актив	He had found what he was looking for in his inside pocket.	актив																						
Jelas bahwa apa pun yang dikatakan "semua orang", tak akan dipercayainya sampai Dumbledore mengatakan kepadanya bahwa itu benar.	Было очевидно: несмотря на то что она знает, о чем говорят все вокруг, она не поверит в это, пока Дамблдор не скажет ей, что это правда.	актив	It was plain that whatever ‘everyone’ was saying, she was not going to believe it until Dumbledore told her it was true.	актив																						
Ditemukannya sepasang di bawah tempat tidur, dan setelah menarik labah-labah dari salah satu di antaranya, dipakainya kaus kaki itu.	Он обнаружил их под кроватью и, надевая, стряхнул ползающего по ним паука.	актив	He found a pair under his bed and, after pulling a spider off one of them, put them on.	актив																						
Tampaknya Dudley mendapatkan komputer baru yang diinginkannya, belum lagi televisi baru, dan sepeda balap.	Похоже, что Дадли подарили новый компьютер, который тот так хотел, еще один телевизор и гоночный велосипед – это не говоря обо всем прочем.	безличное	It looked as though Dudley had got the new computer he wanted, not to mention the second television and the racing bike.	безличное																						
Seluruh rumahnya bau kol dan Mrs Figg memaksanya melihat foto-foto semua kucing yang pernah dimilikinya.	Весь дом миссис Фигг насквозь пропах кабачками, а его хозяйка заставляла Гарри любоваться фотографиями многочисленных кошек, живших у нее в разные годы.	актив	The whole house smelled of cabbage and Mrs Figg made him look at photographs of all the cats she’d ever owned.	актив																						
MR dan Mrs Dursley yang tinggal di Privet Drive nomor empat bangga menyatakan diri bahwa mereka orang-orang yang normal, untunglah.	Мистер и миссис Дурсль проживали в доме номер четыре по Тисовой улице и всегда с гордостью заявляли, что они, слава богу, абсолютно нормальные люди.	актив	Mr and Mrs Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.	актив																						
Tetapi sebetulnya yang dilakukannya hanyalah (seperti diteriakkannya kepada Paman Vernon dari dalam lemarinya yang terkunci) melompat ke belakang tempat sampah besar di luar pintu dapur.	Гарри пытался объяснить дяде Вернону что он всего лишь хотел перепрыгнуть через мусорные баки, стоявшие за столовой, и сам не понял, как оказался на крыше, но тот молча запер его в кладовке и ушел.	актив	But all he’d tried to do (as he shouted at Uncle Vernon through the locked door of his cupboard) was jump behind the big bins outside the kitchen doors.	актив																						
Di sudut ada televisi pertama Dudley, yang ditendangnya sampai bolong ketika acara favoritnya batal ditayangkan.	В углу стоял первый телевизор Дадли, который тот разбил ударом ноги, когда отменили показ его любимой передачи.	актив	The month-old cine-camera was lying on top of a small, working tank Dudley had once driven over next door’s dog; in the corner was Dudley’s first-ever television set, which he’d put his foot through when his favourite programme had been cancelled; there was a large bird-cage which had once held a parrot that Dudley had swapped at school for a real air-rifle, which was up on a shelf with the end all bent because Dudley had sat on it.	актив																						
Dia lapar, dia tidak bisa menonton lima acara televisi yang ingin ditontonnya, dan belum pernah dia melewatkan waktu selama itu tanpa meledakkan alien di layar komputernya.	Он был голоден, он пропустил пять телевизионных программ, которые собирался посмотреть, и он никогда еще не делал таких долгих перерывов между компьютерными сражениями с пришельцами и чудовищами.	актив	He was hungry, he’d missed five television programmes he’d wanted to see and he’d never gone so long without blowing up an alien on his computer.	актив																						
Ketika cerita Hagrid hampir tamat, dia melihat kembali cahaya hijau menyilaukan, lebih jelas daripada yang selama ini diingatnya.	Перед его глазами отчетливо возникла знакомая картина из прошлого, только теперь ослепительная вспышка зеленого света была гораздо ярче.	актив	As Hagrid's story came to a close, he saw again the blinding flash of green light, more clearly than he had ever remembered it before -- and he remembered something else, for the first time in his life: a high, cold, cruel laugh.	актив																						
Batu bata yang disentuhnya bergetar—meliuk malah—di tengahnya, muncul lubang kecil—makin lama makin besar—sedetik kemudian mereka sudah berhadapan dengan gerbang yang bahkan cukup besar untuk Hagrid.	Кирпич, до которого он дотронулся, задрожал, потом задергался, в середине у него появилась маленькая дырка, которая быстро начала расти.	актив	The brick he had touched quivered – it wriggled – in the middle, a small hole appeared – it grew wider and wider – a second later they were facing an archway large enough even for Hagrid, an archway on to a cobbled street which twisted and turned out of sight.	актив																						
Dia tak perlu tahu berapa Galleon senilai dengan satu pound untuk mengetahui bahwa dia sedang memegang lebih banyak uang daripada yang pernah dimilikinya selama hidupnya—bahkan lebih banyak daripada yang dimiliki Dudley.	Ему даже не было интересно, каков курс галлеона по отношению к фунту, – важно было, что сейчас у него денег больше, чем за всю его жизнь.	"у него"	He didn't have to know how many Galleons there were to a pound to know that he was holding more money than he'd had in his whole life -- more money than even Dudley had ever had.	актив																						
"Perlu bantuan?" ternyata salah satu dari si kembar berambut merah yang tadi diikutinya menerobos boks tiket.	Это был один из тех близнецов, чья мать подсказала Гарри, что нужно делать.	актив	‘Want a hand?’ It was one of the red-haired twins he’d followed through the ticket box.	актив																						
Anak itu mengangkat tutup kotak yang dipeluknya dan anak-anak yang merubungnya langsung menjerit dan berteriak-teriak ketika ada kaki panjang berbulu keluar dari kotak itu.	Кудрявый приподнял крышку коробки, которую держал в руках, и все стоявшие вокруг него отпрянули с криками ужаса.	актив	The boy lifted the lid of a box in his arms, and the people around him shrieked and yelled as something inside poked out a long, hairy leg.	"in his arms"																						
Dia tidak tahu apa yang akan segera terjadi, tetapi pastilah lebih baik daripada yang sedang ditinggalkannya.	Он еще не знал, что ждет его там, куда он едет, но он был уверен: это будет лучше, чем то, что он оставлял позади.	актив	He didn’t know what he was going to – but it had to be better than what he was leaving behind.	актив																						
Tak ada yang banyak bicara kecuali Hermione Granger yang dalam bisikan mengucapkan dengan cepat semau mantra yang telah dipelajarinya.	Все молчали, кроме Гермионы Грэйнджер, которая стояла рядом с Гарри и шепотом рассказывала всем вокруг о том, какие заклинания она уже выучила, и вслух гадала, какое из них ей понадобится на церемонии отбора.	актив	No one was talking much except Hermione Granger, who was whispering very fast about all the spells she’d learnt and wondering which one she’d need.	актив																						
"Aku juga diminta oleh Mr Filch, penjaga sekolah, untuk mengingatkan kalian semua, bahwa sihir tak boleh digunakan pada saat pergantian kelas di koridor-koridor.	– По просьбе мистера Филча, нашего школьного смотрителя, напоминаю, что не следует творить чудеса на переменах.	"по просьбе"	‘I have also been asked by Mr Filch, the caretaker, to remind you all that no magic should be used between classes in the corridors.	пассив																						
"Aku dibesarkan oleh nenek dan dia penyihir," kata Neville, "tetapi selama bertahun-tahun seluruh keluarga mengira aku Muggle.	– Я... Ну, меня вырастила бабушка, она волшебница, – начал Невилл.	актив	‘Well, my gran brought me up and she’s a witch,’ said Neville, ‘but the family thought I was all Muggle for ages.	актив																						
"Dan yang terakhir, aku harus menyampaikan kepada kalian, bahwa tahun ini koridor lantai tiga sebelah kanan sebaiknya dihindari oleh mereka yang tak ingin mati penuh penderitaan."	И наконец, я должен сообщить вам, что в этом учебном году правая часть коридора на третьем этаже закрыта для всех, кто не хочет умереть мучительной смертью.	пассив	‘And finally, I must tell you that this year, the third-floor corridor on the right-hand side is out of bounds to everyone who does not wish to die a very painful death.’	актив																						
Suaranya tak lebih daripada bisikan, tetapi anak-anak menangkap semua kata yang diucapkannya – seperti Profesor McGonagall, Snape punya kelebihan bisa tanpa susah payah membuat seluruh murid di kelasnya menyimak.	Снегг говорил почти шепотом, но ученики отчетливо слышали каждое слово.	актив	He spoke in barely more than a whisper, but they caught every word – like Professor McGonagall, Snape had the gift of keeping a class silent without effort.	актив																						
Khalayak luas berpendapat pembobolan tersebut dilakukan oleh penyihir hitam yang tak dikenal.	Продолжается расследование обстоятельств проникновения неизвестных грабителей или грабителя в банк «Гринготтс», имевшего место 31 июля.	"дело рук"	Investigations continue into the break-in at Gringotts on 31 July, widely believed to be the work of dark wizards or witches unknown.	пассив																						
Dia buru-buru menyantap makan malamnya, tanpa memperhatikan apa yang dimakannya, dan kemudian buru-buru ke atas dengan Ron untuk, akhirnya, membuka bungkusan Nimbus Dua Ribu-nya.	За ужином он не ел, а буквально проглатывал еду, даже не замечая, что именно глотает. Потом вместе с Роном помчался наверх, чтобы наконец распаковать «Нимбус».	актив	He bolted his dinner that evening without noticing what he was eating and then rushed upstairs with Ron to unwrap the Nimbus Two Thousand at last.	актив																						
Nimbus Dua Ribu berbelok ke arah mana pun yang dimauinya hanya dengan sentuhan kecil darinya.	Метла «Нимбус-2000» молниеносно реагировала на малейшее движение Гарри, делая в точности то, чего он хотел.	актив	The Nimbus Two Thousand turned wherever he wanted at his lightest touch.	актив																						
Dia mengerti apa yang harus dilakukannya.	Он отлично понял, что Должен делать на поле.	актив	He understood what he had to do all right, it was doing it that was going to be the problem.	актив																						
"Apa yang dilakukannya?" bisik Harry.	– Что это он тут делает? – прошептал Гарри.	актив	‘What’s he doing?’ Harry whispered.	актив																						
Harry berusaha menuju ke tiang gawang Gryffindor lagi, terpikir olehnya unutuk mengusulkan Wood agar minta waktu istirahat sebentar – dan tiba-tiba disadarinya bahwa dia kehilangan kendali atas sapunya.	Казалось, что метла хочет сбросить его.	актив	It was as though the broom was trying to buck him off.	актив																						
Diraupnya api itu dari jubah Snape dan dimasukkannya ke dalam botol kecil di sakunya, lalu dia berjalan kembali sepanjang deretan tempat duduk yang dilewatinya tadi – Snape tak akan tahu apa yang telah terjadi.	Снегг не видел Гермиону, и она незаметным движением смахнула с него пламя. Оно каким-то ей одной известным образом оказалось в маленькой баночке, которую она держала в кармане. По-прежнему не разгибаясь, Гермиона начала пробираться обратно, удаляясь от Снегга, и теперь профессор при всем желании не мог узнать, что именно с ним случилось.	актив	Scooping the fire off him into a little jar in her pocket she scrambled back along the row – Snape would never know what had happened.	актив																						
Hermione mengeluarkan sederet topik dan judul yang telah diputuskannya akan ia cari, sementara Ron berjalan menyusuri deretan buku dan mulai menarik beberapa di antaranya secara acak.	Гермиона вытащила из кармана список книг, которые она запланировала просмотреть, Рон пошел вдоль рядов, время от времени останавливаясь, наугад вытаскивая ту или иную книгу и начиная ее листать.	актив	Hermione took out a list of subjects and titles she had decided to search while Ron strode off down a row of books and started pulling them off the shelves at random.	актив																						
Seperti semua benda lain yang dimilikinya, papan catur itu dulunya milik orang lain dalam keluarganya – dalam hal ini kakeknya.	Как и все его вещи, они когда-то принадлежали кому-то из его родственников, в данном случае дедушке.	актив	Like everything else he owned, it had once belonged to someone else in his family – in this case, his grandfather.	актив																						
Ron sudah kenal baik semuanya, sehingga dia tak pernah punya kesulitan menyuruh mereka melakukan apa yang diinginkannya.	Рон так отлично их изучил, что у него никогда не было проблем с тем, чтобы заставить их выполнить то, что он хочет.	актив	Ron knew them so well he never had trouble getting them to do what he wanted.	актив																						
Meskipun demikian, ketika pagi-pagi sekali dia bangun, yang pertama kali dilihatnya adalah tumpukan kecil bungkusan di kaki tempat tidurnya.	Однако, проснувшись наутро, он первым делом заметил свертки и коробочки у своей кровати.	актив	When he woke early next morning, however, the first thing he saw was a small pile of packages at the foot of his bed.	актив																						
"Aku sudah mendengar tentang itu," katanya terpesona, kotak Kacang Segala-Rasa yang didapatnya dair Hermione sampai terjatuh.	– Я слышал о таком, – произнес он сдавленным голосом, роняя на пол присланную Гермионой коробочку с леденцами и даже не замечая этого.	страдательное причастие	‘I’ve heard of those,’ he said in a hushed voice, dropping the box of Every-Flavour Beans he’d got from Hermione.	актив																						
Harry ingin segera melupakan apa yang telah dilihatnya di cermin, tetapi tak bisa.	Он хотел бы иметь возможность с такой же легкостью убрать из памяти то, что он видел в зеркале, но это ему не удавалось.	актив	Harry wished he could forget what he’d seen in the Mirror as easily, but he couldn’t.	актив																						
Akhirnya dia menemukan apa yang dicarinya.	– Я так и знала! – воскликнула она, найдя то, что искала.	актив	At last she found what she was looking for.	актив																						
"Apa yang disembunyikannya di belakang punggung?" tanya Hermione berpikir-pikir.	– Интересно, что он там прятал за спиной?-задумчиво спросила Гермиона.	актив	‘What was he hiding behind his back?’ said Hermione thoughtfully.	актив																						
"Aku baik-baik saja," kata Harry, hampir tak memahami apa yang diucapkannya.	– Я в порядке, – автоматически ответил Гарри, даже не отдавая себе отчета в том, что именно говорит.	актив	‘I’m fine,’ said Harry, hardly knowing what he was saying.	актив																						
Menggoyangkannya, menggumamkan sesuatu dan berhasil memancarkan api biru—sama seperti yang digunakannya pada Snape di stadion—ke arah tanaman itu.	– Ой, верно! – Гермиона выхватила волшебную палочку и взмахнула ей, что-то шепча.	актив	‘Oh, right!’ said Hermione, and she whipped out her wand, waved it, muttered something and sent a jet of the same bluebell flames she had used on Snape at the plant.	актив																						
Dia mempercayai cerita keluarga Dursley bahwa bekas lukanya didapatnya dalam kecelakaan lalu lintas yang menewaskan orangtuanya.	И никогда не подвергал сомнению рассказ дядюшки, что его родители погибли в автомобильной катастрофе, после которой у него и остался на лбу этот шрам.	актив	He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys’ story that he had got his scar in the car crash which had killed his parents.	актив																						
Sudah dua minggu ini tak ada hal lain yang dibicarakannya.	Последние две недели только о ней и разговор.	актив	He’d been talking of nothing else for a fortnight.	актив																						
"Ah, Sir," isaknya, mengusap wajahnya dengan salah satu ujung sarung bantal butut yang dipakainya.	— Ах, сэр, — выдохнул он и вытер лицо углом грязной наволочки.	актив	‘Ah, sir,’ he gasped, dabbing his face with a corner of the grubby pillowcase he was wearing.	актив																						
Kesunyian yang menyusul hanya dipecahkan oleh dentang-denting garpu dan pisau dari bawah dan sayup-sayup suara Paman Vernon di kejauhan.	В комнате воцарилось молчание, прерываемое рокотанием голоса дяди Вернона, бряцанием ножей и вилок, доносившимся снизу.	страдательное причастие	There was a silence broken only by the chink of knives and forks from downstairs and the distant rumble of Uncle Vernon’s voice.	past participle																						
BUKAN untuk pertama kalinya pertengkaran meledak di meja makan rumah Privet Drive nomor empat.	В доме № 4 по Тисовой улице во время завтрака разразился очередной скандал.	возвратный пассив	Not for the first time, an argument had broken out over breakfast at number four, Privet Drive.	актив																						
Harry bisa mengenali tulisan Hermione yang rapi, tulisan cakar ayam Ron yang berantakan, dan bahkan coretan yang kelihatannya dikirim oleh si pengawas binatang liar Hogwarts, Hagrid.	Гарри различил аккуратный почерк Гермионы, небрежную писанину Рона и даже каракули, которые наверняка были нацарапаны рукой лесничего Хагрида.	пассив	Harry could make out Hermione’s neat writing, Ron’s untidy scrawl and even a scribble that looked as though it was from the Hogwarts gamekeeper, Hagrid.	актив																						
"Bayangkan, penyihir yang membeli mobil tua karatan dan memberitahu istrinya yang ingin dilakukannya dengan mobil itu hanyalah membongkarnya untuk mengetahui bagaimana cara kerjanya, padahal ternyata dia menyihir mobil itu agar bisa terbang."	— Представь себе волшебника, который купил старенькую развалюху и сказал жене, что разберет ее на части единственно затем, чтобы понять устройство. А на самом деле применяет к ней чары летучести. И пожалуйста, на этом автомобиле можно лететь хоть на край света.	актив	‘Imagine a wizard buying a rusty old car and telling his wife all he wanted to do with it was take it apart to see how it worked, while really he was enchanting it to make it fly.’	актив																						
Mendongak, dia melihat anak laki-laki sangat kecil berambut seperti tikus yang semalam dilihatnya sedang memakai Topi Seleksi.	Подняв глаза, он увидел того самого мальчика с волосами мышиного цвета, которого заметил через окно в Большом зале во время церемонии распределения.	актив	Looking up, he saw the very small, mousy haired boy he’d seen trying on the Sorting Hat last night staring at Harry as though transfixed.	актив																						
Di belakangnya Harry bisa melihat rongsokan lemari besar hitam-emas yang kelihatannya dijatuhkan dari tempat yang tinggi.	Гарри остановился, заглянул в комнату и увидел печальные остатки огромного черно-золотого шкафа, который, надо думать, упал с большой высоты.	"надо думать"	Behind him, Harry could see the wreckage of a large black and gold cabinet that appeared to have been dropped from a great height	"appeared to"																						
Saat Hallowe'en tiba, Harry menyesali janji untuk datang ke Pesta Ulang Tahun Kematian yang diucapkannya tanpa pikir panjang.	В канун Хэллоуина Гарри начал жалеть о поспешно данном обещании пойти на прием к Почти Безголовому Нику.	страдательное причастие	By the time Hallowe’en arrived, Harry was regretting his rash promise to go to the Deathday Party.	_																						
Ruang bawah tanah itu penuh beratus-ratus orang seputih-mutiara transparan, sebagian besar melayang-layang di atas lantai dansa yang penuh, berdansa waltz mengikuti irama tiga puluh gergaji musik yang berbunyi gemetar mengerikan, dimainkan oleh rombongan orkes di panggung yang lantainya bertutup kain hitam.	Играли на них музыканты в черном бархате, стоявшие на сцене.	_	The dungeon was full of hundreds of pearly-white, translucent people, mostly drifting around a crowded dance floor, waltzing to the dreadful, quavering sound of thirty musical saws, played by an orchestra on a black-draped platform.	past participle																						
"Menurut cerita itu semacam monster yang hanya bisa dikontrol oleh pewaris Slytherin," kata Profesor Binns dengan suaranya yang kering mendesah.	— Легенда гласит, что это чудовище, которое будет повиноваться лишь наследнику Слизерина, — пояснил профессор Бинс сухим, шелестящим голосом.	возвратный пассив	‘That is believed to be some sort of monster, which the heir of Slytherin alone can control,’ said Professor Binns in his dry, reedy voice.	актив																						
"Makhluk yang tinggal di kastil itu," kata Aragog, "adalah makhluk kuno yang sangat ditakuti oleh kami, labah-labah, lebih daripada makhluk-makhluk lain.	— Это древнее дьявольское порождение, которого мы, пауки, смертельно боимся.	актив	"The thing that lives in the castle," said Aragog, "is an ancient creature we spiders fear above all others.	актив																						
Kita berdua berdarah-campuran, yatim piatu, dibesarkan oleh Muggle.	Оба мы полукровки, оба сироты, обоих вырастили маглы.	актив	Both half-bloods, orphans, raised by Muggles.	пассив																						
"Sendirian di dalam Kamar Rahasia, ditinggalkan oleh teman-temannya, dikalahkan akhirnya oleh Pangeran Kegelapan yang dengan bodoh ditantangnya.	— Один в Тайной комнате, покинутый друзьями, сраженный наконец Темным Лордом, которому он столь неосмотрительно бросил вызов.	страдательное причастие	Alone in the Chamber of Secrets, forsaken by his friends, defeated at last by the Dark Lord he so unwisely challenged.	past participle																						
Mereka dibunuh, dibunuh oleh penyihir hitam yang paling ditakuti selama seratus tahun belakangan ini, Lord Voldemort.	Их убил величайший за последние сто лет темный волшебник Лорд Волан-де-Морт.	актив	They had been murdered, murdered by the most feared Dark wizard for a hundred years, Lord Voldemort.	пассив																						
HARRY POTTER adalah anak yang sangat istimewa dalam banyak hal.	Гарри Поттер — необычный мальчик во всех отношениях.	актив	Harry Potter was a highly unusual boy in many ways.	актив																						
Berdiri di ambang pintu, diterangi oleh nyala api yang bergoyang di tangan Lupin, ada sosok berjubah yang menjulang sampai ke langit-langit kereta.	Дрожащее пламя в руках Люпина осветило упиравшуюся в потолок фигуру, закутанную в плащ.	страдательное причастие	Standing in the doorway, illuminated by the shivering flames in Lupin's hand, was a cloaked figure that towered to the ceiling.	past participle																						
Perkataannya terpotong oleh ketukan di pintu.	В дверь постучали.	безличное	He was interrupted by a knock on the door.	пассив																						
"Karena kastil ini dilindungi tidak hanya oleh tembok, tahu," kata Hermione.	— А то, что замок защищен кое–чем еще, кроме стен.	пассив	"Because the castle's protected by more than walls, you know," said Hermione.	пассив																						
Pandangannya sangat dikaburkan oleh hujan yang menimpa kacamatanya, sehingga dia tidak melihat Bludger itu datang.	Уже два раза Гарри чуть не сбил с метлы бладжер: из-за воды, заливающей стекла очков, Гарри не заметил его приближения.	актив	Twice Harry came very close to being unseated by a Bludger; his vision was so clouded by the rain on his glasses he hadn’t seen them coming.	пассив																						
"Dan sekarang muncul regu Slytherin, dipimpin oleh Kapten Flint.	— Ее выводит капитан сборной Маркус Флинт.	актив	And here come the Slytherin team, led by Captain Flint.	пассив																						
Frank terpincang-pincang memutar ke belakang rumah sampai dia tiba di pintu yang nyaris tersembunyi oleh sulur-sulur tanaman, mengambil kunci tuanya, memasukkannya ke lubang kunci, dan membuka pintu tanpa suara.	Фрэнк, хромая, обошел вокруг Дома, добрался до задней двери, скрытой плющом, вставил ключ в скважину и беззвучно повернул.	страдательное причастие	Frank limped around to the back of the house until he reached a door almost completely hidden by ivy, took out the old key, put it into the lock and opened the door noiselessly.	past participle																						
PENDUDUK desa Little Hangleton masih menyebutnya "Rumah Riddle", meskipun sudah bertahun-tahun lamanya keluarga Riddle tak tinggal di sana lagi.	В Литтл-Хэнглтоне по-прежнему зовут его Домом Реддлов, хотя семья Реддлов давным-давно там не живет.	актив	The villagers of Little Hangleton still called it ‘the Riddle House’, even though it had been many years since the Riddle family had lived there.	актив																						
