индонезийский контекст	русский контекст	русская конструкция	английский контекст	английская конструкция																						
Mereka datang mencari Sirius di Hogwarts, padahal Sirius tak bersalah—pembunuhan yang dituduhkan kepadanya dilakukan oleh Wormtail, pendukung Voldemort, yang oleh semua orang dikira sudah mati.	Ее охраняют дементоры — незрячие, высасывающие душу демоны, и они явились разыскивать Сириуса в Хогвартс, когда он сбежал. Но Сириус был невиновен. Убийства, за которые его осудили, совершил Хвост — пособник Волан-де-Морта, которого все считали погибшим.	актив	Yet Sirius had been innocent - the murders for which he had been convicted had been committed by Wormtail, Voldemort's supporter, whom nearly everybody now believed dead.	пассив																						
Keduanya diantar bukan oleh burung hantu (seperti yang biasa dilakukan penyihir), melainkan oleh burung-burung tropis besar berbulu warna-warni cerah.	Оба принесли не совы (как принято у волшебников), а большие яркие тропические птицы.	актив	Both had been delivered, not by owls (as was usual with wizards) but by large, brightly coloured, tropical birds.	пассив																						
Kira-kira dua puluh kursi ungu-keemasan berjajar dalam dua deret, dan Harry, yang mengisi deretan depan bersama keluarga Weasley, menunduk menyaksikan pemandangan yang tak pernah bisa dibayangkannya.	Тут в два ряда стояли примерно двадцать пурпурно-золоченых кресел, и Гарри, пройдя к передним местам вместе с Уизли, взглянул вниз и увидел фантастическую картину, которую никогда не смог бы даже вообразить.	актив	About twenty purple-and-gilt chairs stood in two rows here, and Harry, filing into the front seats with the Weasleys, looked down upon a scene the like of which he could never have imagined.	актив																						
"Dan sementara tim Irlandia melakukan lompatan kemenangan, diapit oleh maskot mereka, Piala Dunia Quidditch dibawa ke Boks Utama!" raung Bagman.	— Ирландская сборная выполняет круг почета в сопровождении своих талисманов, а Кубок мира по квиддичу вносят в верхнюю ложу! – объявил Бэгмен.	актив	‘And as the Irish team perform a lap of honour, flanked by their mascots, the Quidditch World Cup itself is brought into the Top Box!’ roared Bagman.	пассив																						
Selama beberapa menit, keheningan ha dipecahkan oleh dengus dan entakan kaki kuda-kuda besar Madame Maxime.	Тишину нарушали только фырканье и стук подков золотых коней мадам Максим.	актив	For a few minutes, the silence was broken only by Madame Maxime’s huge horses snorting and stamping.	пассив																						
Pukul dua dini hari, Harry berdiri di dekat perapian, dikelilingi oleh tumpukan benda-benda: buku-buku, pena-pena bulu, beberapa kursi terbalik, satu set Gobstones usang, dan katak Neville, si Trevor.	В два часа ночи Гарри стоял, окруженный горой предметов — книгами, перьями, перевернутыми креслами, набором Плюй-камней и жабой Невилла, Тревором.	страдательное причастие	At two o’clock in the morning, Harry stood near the fireplace, surrounded by heaps of objects – books, quills, several upturned chairs, an old set of Gobstones and Neville’s toad, Trevor.	past participle																						
Dia meletakkan kepalanya yang cantik di kaki Harry yang luka, dan air mata yang besar-besar bergulir dari matanya, jatuh ke luka yang disebabkan oleh labah-labah.	Феникс спорхнул на пол, прикоснулся головой к покалеченной ноге Гарри и роняет свои перламутровые слезы на рану, нанесенную пауком.	страдательное причастие	It was resting its beautiful head against Harry’s injured leg, and thick, pearly tears were falling from its eyes onto the wound left by the spider.	past participle																						
"Cedric Diggory dibunuh oleh Lord Voldemort."	— Седрика Диггори убил лорд Волан-де-Морт.	актив	‘Cedric Diggory was murdered by Lord Voldemort.’	пассив																						
"Nah, si tolol itu membayar kami dengan emas Leprechaun yang dikumpulkannya dari maskot-maskot Irlandia."	— Ну, он и заплатил нам лепреконским золотом, пойманным на стадионе.	страдательное причастие	‘Well, the git paid us in leprechaun gold he’d caught from the Irish mascots.’	актив																						
Suami-istri Dursley lalu diam.	Дурсли умолкли.	актив	The Dursleys fell silent.	актив																						
Harry yakin bunyi letupan tadi disebabkan oleh orang yang ber-Apparate atau ber-Disapparate.	Гарри не сомневался: хлопок прозвучал оттого, что кто-то трансгрессировал.	актив	Harry was sure the cracking noise had been made by someone Apparating or Disapparating.	пассив																						
Magnolia Road, seperti Privet Drive, dipenuhi rumah besar persegi, dengan taman rumput yang terpelihara, semuanya dimiliki oleh orang-orang bertubuh besar yang mengendarai mobil sangat bersih mirip mobil Paman Vernon.	Шоссе Магнолий, как и Тисовая улица, было застроено крупными, незамысловатыми, похожими друг на друга домами с идеально, как в парикмахерской, подстриженными газонами, и хозяева их были крупные, незамысловатые, похожие друг на друга люди, которые ездили в очень чистых машинах, точь-в-точь как у дяди Вернона.	актив	Magnolia Road, like Privet Drive, was full of large, square houses with perfectly manicured lawns, all owned by large, square owners who drove very clean cars similar to Uncle Vernon’s.	past participle																						
"ASTAGA!" jerit Paman Vernon, menarik gumpalan-gumpalan besar kumisnya, hal yang sudah lama tidak dilakukannya.	— Ради всего святого! — взревел дядя Вернон и выдернул из усов два хороших пучка волос, чего с ним не случалось очень давно.	безличное	‘FOR GOD’S SAKE!’ roared Uncle Vernon, pulling great clumps of hair out of his moustache, something he hadn’t been driven to do in a long time.	пассив																						
Moody berdiri di undakan paling atas, melepas gumpalan cahaya yang tadi dicuri oleh Pemadam-Api dari lampu-lampu jalanan.	Грюм, стоя на верхней ступени крыльца, выпускал на свободу световые шары, похищенные гасилкой у фонарей.	страдательное причастие	Moody was standing on the top step releasing the balls of light the Put-Outer had stolen from the streetlamps; they flew back to their bulbs and the square glowed momentarily with orange light before Moody limped inside and closed the front door, so that the darkness in the hall became complete.	актив																						
Dia melakukan kealpaan besar karena tidak menyadari bahwa bosnya dikontrol oleh Lord Voldemort (walaupun Kementerian tidak mempercayai hal itu-mereka semua- menganggap Mr Crouch sudah gila).	Перси совершил довольно грубый промах, не заметив, что его начальник находится под контролем лорда Волан-де-Морта (в Министерстве, правда, этому не поверили — там решили, что Крауч сошел с ума).	актив	Percy had committed the fairly large oversight of failing to notice that his boss was being controlled by Lord Voldemort (not that the Ministry had believed it – they all thought Mr Crouch had gone mad).	пассив																						
Tetapi sisa kata-katanya ditenggelamkan oleh jeritan-jeritan mengerikan yang memekakkan telinga.	Но конец фразы потонул в ужасном, пронзительном, душераздирающем визге.	актив	But the rest of her words were drowned by a horrible, earsplitting, blood-curdling screech.	пассив																						
Di atas rambutnya dia memakai bando merah jambu seperti yang dipakai tokoh Elisa dalam kisah Elisa di Negeri Ajaib, warnanya serasi dengan kardigan bulu merah jambu yang dipakainya di atas jubahnya.	Пухлая и приземистая, с короткими курчавыми мышино-каштановыми волосами, она повязала голову ужасающей ярко-розовой лентой под цвет пушистой вязаной кофточки, которую надела поверх мантии.	актив	She looked, Harry thought, like somebody’s maiden aunt: squat, with short, curly, mouse-brown hair in which she had placed a horrible pink Alice band that matched the fluffy pink cardigan she wore over her robes.	актив																						
Mereka tak berhenti bertengkar sepanjang jalan ke ruang bawah tanah Snape, memberi Harry banyak waktu untuk merenung bahwa bersama Neville dan Ron, beruntung sekali kalau dia bisa menjalin dua menit percakapan dengan Cho yang bisa dikenangnya tanpa berkeinginan meninggalkan negara ini.	Спор продолжался всю дорогу в подземелье Снегга, и у Гарри поэтому была масса времени на размышления о том, что с такими приятелями, как Невилл и Рон, ему трудно рассчитывать даже на две минуты разговора с Чжоу, о которых можно будет потом вспоминать без желания немедленно уехать за границу.	актив	They did not stop arguing all the way down to Snape’s dungeon, which gave Harry plenty of time to reflect that between Neville and Ron he would be lucky ever to have two minutes of conversation with Cho that he could look back on without wanting to leave the country.	актив																						
Jendela-jendelanya diselimuti kotoran sehingga sangat sedikit sinar yang bisa masuk ruangan, yang diterangi oleh lilin-lilin di meja-meja kayu kasar.	Окна эркера покрывал такой слой сальной грязи, что дневной свет едва просачивался в комнату, и освещалась она огарками свечей, расставленными на грубых деревянных столах.	возвратный пассив	The bay windows were so encrusted with grime that very little daylight could permeate the room, which was lit instead with the stubs of candles sitting on rough wooden tables	пассив																						
Zacharias berkata berani, "Yang disampaikan Dumbledore kepada kami tahun lalu hanyalah bahwa Cedric Diggory dibunuh oleh Kau-Tahu-Siapa dap bahwa kau membawa pulang jenazah Diggory ke Hogwarts.	— В прошлом году Дамблдор сказал только, что Седрика Диггори убил Сами-Знаете-Кто и что ты принес его тело в Хогвартс.	актив	Zacharias said dismissively, ‘All Dumbledore told us last year was that Cedric Diggory got killed by You-Know-Who and that you brought Diggory’s body back to Hogwarts.	пассив																						
Salah satu anak kucing yang digambar dengan jelek di belakang Umbridge memiliki mata biru bulat persis mata gaib Mad-Eye Moody, dan baru saja terlintas di benak Harry apa kata Mad-Eye kalau dia mendengar Harry minum sesuatu yang ditawarkan oleh orang yang jelas-jelas musuhnya.	У одного из отвратительных котят, изображенных на тарелочках, были огромные, круглые голубые глаза, точь-в-точь такие же, как волшебный глаз мракоборца Грюма, и Гарри внезапно подумал, что бы сказал Грюм, узнай он, что Гарри принял угощение из рук заведомого врага.	актив	One of the horrible painted kittens behind Umbridge had great round blue eyes just like Mad-Eye Moody’s magical one and it had just occurred to Harry what Mad-Eye would say if he ever heard that Harry had drunk anything offered by a known enemy.	past participle																						
"Halo?" katanya berusaha terdengar lebih berani daripada yang dirasakannya.	— В чем дело? – спросил он, стараясь говорить с твердостью, которой на самом деле не ощущал.	актив	‘Hello?’ he said, trying to sound braver than he felt.	актив																						
"Jelas sekali itu disebabkan oleh Kutukan Imperius yang tidka sempurna,´ kata Scrimgeour.	— Очевидно, его поведение является следствием скверно выполненного заклятия Империус, — ответил Скримджер.	"следствием"	‘He has clearly reacted to a poorly performed Imperius Curse,’ said Scrimgeour.	"reacted to"																						
Seluruh dindingnya dipenuhi buku, sebagian besar buku-buku tua dengan sampul kulit hitam atau cokelat; sebuah sofa usang, kursi berlengan tua, dan meja reyot berkumpul dalam cahaya temaram yang disorotkan oleh lampu lilin yang tergantung di langit-langit.	Полки по стенам были сплошь уставлены книгами, большей частью в старинных коричневых или черных кожаных переплетах. Потертый диван, старое кресло и колченогий столик стояли тесной группой в лужице тусклого света от люстры со свечами, свисавшей с потолка.	_	The walls were completely covered in books, most of them bound in old black or brown leather; a threadbare sofa, an old armchair and a rickety table stood grouped together in a pool of dim light cast by a candle-filled lamp hung from the ceiling.	past participle																						
Cahaya tongkat sihir berkilau menyinari kepalanya yang botak, matanya yang menonjol, kumis besarnya yang keperakan dan besar seperti kumis beruang laut, dan kancing-kancing yang digosok berkilat pada jaket beludru merah tua yang dipakainya di atas celana piama sutra berwarna ungu muda.	Свет от волшебной палочки искрился на его блестящей лысине, выпученных глазах, пышных серебристых усах, как у моржа, и полированных пуговицах темно-бордовой бархатной домашней куртки, надетой поверх сиреневой шелковой пижамы.	страдательное причастие	The wand-light sparkled on his shiny pate, his prominent eyes, his enormous, silver walrus-like moustache, and the highly polished buttons on the maroon velvet jacket he was wearing over a pair of lilac silk pyjamas.	актив																						
"Siapa itu?" kata suara cemas yang dikenalinya sebagai suara Mrs Weasley.	— Кто там? – тревожно спросили из-за двери. Гарри узнал голос миссис Уизли.	актив	‘Who’s there?’ said a nervous voice that he recognised as Mrs Weasley’s.	актив																						
Kemarin dulu Arthur menyita satu kotak Teropong-Curiga yang sudah dikutuk yang dipasang oleh Pelahap Maut.	На днях Артур конфисковал коробку проклятых вредноскопов, их почти наверняка подсунул кто-то из Пожирателей смерти.	актив	The other day Arthur confiscated a box of cursed Sneakoscopes that were almost certainly planted by a Death Eater.	пассив																						
Tangannya meraba mencari-cari dan menarik keluar permen lengket berwarna ungu dan jingga, yang dikenalinya sebagai Pastiles Pemuntah.	Гарри по-шарил рукой и вытащил липучую красно-оранжевую конфету, в которой тут же узнал Блевальный батончик.	актив	He groped inside it and pulled out a sticky purple and orange sweet, which he recognised as a Puking Pastille.	актив																						
"Kukira kekuatannya terpengaruh oleh shock, atau sesuatu."	— Видимо, ее волшебные способности пострадали от переживаний, что-то в таком духе.	актив	‘I think her powers must have been affected by shock, or something.’	пассив																						
Mrs Weasley kecewa karena perayaan perayaan ulang tahun keenam belas Harry dirusak leh kabar mengerikan yang dibawa ke pesta dirusak oleh Remus Lupin, yang tampak kurus kering dan muram, rambut cokelatnya banyak ditumbuhi uban di sana-sini, pakaiannya lebih compang-camping dan lebih banyak tambalannya daripada sebelumnya.	К большому огорчению миссис Уизли, шестнадцатый день рождения Гарри был омрачен зловещими рассказами Римуса Люпина, пришедшего на праздник изможденным и посуровевшим, с сединой в каштановых волосах; одежда у него была еще более рваная и заплатанная, чем обычно.	генитив	To Mrs Weasley’s displeasure, Harry’s sixteenth birthday celebrations were marred by grisly tidings brought to the party by Remus Lupin, who was looking gaunt and grim, his brown hair streaked liberally with grey, his clothes more ragged and patched than ever.	past participle																						
Ron menjatuhkan beberapa kotak, mengumpat, dan membuat gerakan kurang ajar dengan tangannya kepada Fred yang celakanya dilihat oleh Mrs Weasley, yang memilih saat itu untuk muncul.	Рон уронил несколько коробок, выругался и сделал неприличный жест в адрес Фреда, но, к несчастью, его заметила подошедшая как раз в этот момент миссис Уизли.	актив	Ron dropped several boxes, swore and made a rude hand gesture at Fred that was unfortunately spotted by Mrs Weasley, who had chosen that moment to appear.	пассив																						
Ron menjatuhkan dua-tiga kotak yang masih dipegangnya sementara dia berusaha membuka kotak yang paling besar.	Он выронил еще несколько коробок, которые так и остались у него в руках, и кое-как открыл самую большую.	актив	He dropped a couple more of the boxes he was still clutching as he fumbled with the largest.	актив																						
Dia lalu panjang-lebar menceritakan kenangannya, namun Harry mendapat kesan jelas bahwa Slughorn belum selesai dengannya, dan bahwa dia belum diyakinkan oleh Neville dan Ginny.	Он пустился в долгие и запутанные воспоминания, но у Гарри осталось четкое ощущение, что Слизнорт с ним еще не закончил и что Невилл и Джинни его не убедили.	актив	He meandered off into a long-winded reminiscence, but Harry had the distinct impression that Slughorn had not finished with him, and that he had not been convinced by Neville and Ginny.	пассив																						
Sesaat Harry mengira Gaunt melakukan gerak tangan yang kurang ajar, namun kemudian sadar bahwa dia sedang menunjukkan kepada Ogden cincin jelek bermata-batu-hitam yang dipakainya di jari tengahnya, menggoyangkannya di depan mata Ogden.	На мгновение Гарри почудилось, что Мракс делает неприличный жест, но потом он разглядел, что старик сует Огдену под нос безобразное кольцо с черным камнем, надетое у него на среднем пальце.	страдательное причастие	For a moment, Harry thought Gaunt was making an obscene hand gesture, but then realised that he was showing Ogden the ugly, black-stoned ring he was wearing on his middle finger, waving it before Ogden’s eyes.	актив																						
Hermione mengatupkan bibir rapat-rapat, tampak marah dan tidak setuju, tetapi perhatiannya teralih oleh burung hantu ketiga yang mendarat di depannya, membawa Daily Prophet edisi hari itu.	Гермиона поджала губы с сердитым и осуждающим видом, но ее отвлекла третья сова, усевшаяся перед нею на стол со свежим номером «Ежедневного пророка».	актив	Hermione pressed her lips together, looking angry and disapproving, but was distracted by a third owl landing in front of her carrying that day’s copy of the Daily Prophet.	пассив																						
"Karena kemungkinan itu tidak disetujui oleh Kementerian Sihir," kata Hermione.	— А такая, что это заклинание, скорее всего, не утверждено Министерством, — отрезала Гермиона.	пассив	‘Because it’s probably not Ministry of Magic-approved,’ said Hermione.	пассив																						
Kau sudah melihat kotak berisi barang-barang curian yang disembunyikannya di kamarnya.	Ты видел коробку, которую он прятал у себя в комнате.	актив	You saw the box of stolen articles he had hidden in his room.	past participle																						
"Inferius adalah mayat yang digerakkan kembali oleh mantra penyihir Hitam.	— Инфернал — это труп, возвращенный к жизни заклинаниями Темного волшебника.	страдательное причастие	"The Inferius is a corpse that has been reanimated by a Dark wizard's spells.	пассив																						
Desas-desus itu sudah bertahun-tahun disebarluaskan oleh orang-orang yang iri hati.	Эти слухи распускаются моими завистниками уже множество лет.	пассив	Those rumours have been bandied about by the jealous for years.	пассив																						
Dua orang itu muncul secara tiba-tiba, terpisah beberapa meter di sebuah jalan sempit yang diterangi oleh cahaya bulan.	Эти двое, появившись словно бы ниоткуда, пару секунд простояли в нескольких шагах друг против друга на узкой, освещенной луной тропе.	страдательное причастие	The two men appeared out of nowhere, a few yards apart in the narrow, moonlit lane.	"moonlit"																						
Jalan kecil itu dikelilingi oleh semak liar yang rendah disebelah kiri, pagar tanaman yg tinggi dan terawat disebelah kanan.	Вдоль тропы шли слева низкие кусты дикой ежевики, а справа — высокая ухоженная живая изгородь.	актив	The lane was bordered on the left by wild, low-growing brambles, on the right by a high, neatly manicured hedge.	пассив																						
Dua laki- laki itu mengambil tempat yang disediakan untuk mereka.	Двое мужчин заняли названные им места.	страдательное причастие	The two men took their allotted places.	past participle																						
Gerakan itu terlihat oleh Voldemort, matanya melebar penuh kedengkian.	Глаза Волан-де-Морта, заметившего это движение, злобно расширились.	действительное причастие	The gesture was not missed by Voldemort, whose eyes widened maliciously.	пассив																						
"Aku harap begitu," kata Harry, "karena begitu aku berumur tujuh belas, semuanya – Pelahap Maut, Dementor, bahkan Inferi, yang merupakan mayat yang disihir oleh Sihir Hitam – dapat menemukanmu dan menyerangmu.	— Надеюсь, — сказал Гарри, — потому что, как только мне исполнится семнадцать, все они — Пожиратели смерти, дементоры, может быть, даже инферналы, а это трупы, околдованные Темным магом, — отыщут вас где угодно и набросятся всем скопом.	страдательное причастие	‘I hope so,’ said Harry, ‘because once I’m seventeen, all of them – Death Eaters, Dementors, maybe even Inferi, which means dead bodies enchanted by a Dark wizard – will be able to find you and will certainly attack you.	past participle																						
"Mad-Eye bilang bahwa Kau-Tahu-Siapa akan mengira bahwa Harry yang asli akan dijaga oleh Auror yang paling berpengalaman.	— Грюм говорил, что он решит, будто настоящего Гарри сопровождает самый крепкий, самый искусный из мракоборцев.	актив	Mad-Eye said he’d expect the real Harry to be with the toughest, most skilled Aurors	актив																						
Ayahnya pernah dikhianati oleh temannya sendiri, Peter Pettigrew.	Гарри понимал, на что намекает Люпин: на то, что отца предал друг, Питер Петтигрю.	актив	Harry knew what Lupin was getting at: that his father had been betrayed by his friend, Peter Pettigrew.	пассив																						
"Kita harus memberi selamat pada mereka!" kata Hermione yang berjinjit mencoba mencari Bill dan Fleur yang sudah dikelilingi oleh orang yang ingin memberi selamat.	— Надо пойти поздравить их, — сказала Гермиона, приподнимаясь на цыпочки, чтобы увидеть Билла и Флер, окруженных толпой уже поздравлявших их гостей.	страдательное причастие	‘We should go and congratulate them!’ said Hermione, standing on tiptoe to see the place where Bill and Fleur had vanished amid a crowd of well-wishers.	актив																						
"Coba Finite Incantatem," kata Hermione, "akan berhasil kalau disebabkan oleh kutukan.	— Если дождь наведен заговором или заклятием, это поможет; если нет, значит, чтото неладно с Атмосферными чарами.	пассив	“Try Finite Incantatem,” said Hermione at once, “that should stop the rain if it’s a hex or curse; if it doesn’t, something’s gone wrong with an Atmospheric Charm, which will be more difficult to fix, so as an interim measure try Impervius to protect his belongings —	актив																						
Harry bermaksud untuk mengikutinya, tapi jalannya tertahan oleh Percy Weasley yang berdiri di dalam lift, hidungnya tertutup dalam koran yang sedang dibacanya.	Гарри тоже попытался выйти, но путь ему преградил уткнувшийся носом в какието документы Перси Уизли.	актив	Harry made to follow him, but found his path blocked as Percy Weasley strode into the lift, his nose buried in some papers he was reading.	past participle																						
Untuk beberapa saat, Harry mencoba keluar, tapi kali ini ia menyadari dirinya tertahan oleh lengan Mr. Weasley.	Гарри попытался последовать за ним, но на этот раз его остановила рука мистера Уизли.	актив	For the second time, Harry tried to get out, but this time found his way blocked by Mr. Weasley’s arm.	пассив																						
"Aku ingin membersihkan diri," Harry berkata pada Bill sambil melihat pada tangannya yang masih ditutupi oleh lumpur dan darah Dobby.	— Я пойду умоюсь, — сказал Гарри Биллу, глядя на свои руки, измазанные землей и кровью Добби.	страдательное причастие	“I’m going to wash,” Harry told Bill, looking down at his hands, still covered in mud and Dobby’s blood.	past participle																						
Dia merasa berjalan dengan cepat yang dikendalikan oleh euphoria, yang terasa memabukkan dari keinginan dalam menghancurkan.	Вновь его охватила еле сдерживаемая эйфория, голову кружило ощущение разрушительной мощи.	страдательное причастие	He felt again that rush of controlled euphoria, that heady sense of purpose in destruction.	past participle																						
Mereka berada di tempat seluas katedral dengan pemandangan sebuah kota, dindingnya yang tinggi terdiri dari berbagai benda yang disembunyikan oleh ratusan siswa yang sudah lama lulus.	Под ними заклятый огонь пожирал контрабанду, спрятанную от бдительных глаз поколениями школьников, бесчисленные последствия запрещенных экспериментов, тайны множества душ, искавших здесь укрытия.	пассив	The smoke and heat were becoming overwhelming: below them the cursed fire was consuming the contraband of generations of hunted students, the guilty outcomes of a thousand banned experiments, the secrets of the countless souls who had sought refuge in the room.	генитив																						
Mereka bergerak dalam kesunyian, pandangan Harry terpancang pada cahaya di ujung tongkat yang digenggamnya.	Они двигались молча. Гарри не сводил глаз со слабого, дрожащего огонька на конце зажатой в кулаке палочки.	страдательное причастие	They moved in silence, Harry’s gaze fixed upon the swinging beam of the wand held in his fist.	past participle																						
Suara Dumbledore ber-Apparate ditenggelamkan oleh suara angin di cabang-cabang pohon.	Дамблдор появился внезапно — шум ветра заглушил звук трансгрессии.	актив	Any sound of Dumbledore Apparating had been drowned by the sound of the wind in the branches.	пассив																						
Dan dengan pecahan jiwa itu, tidak disadari oleh Voldemort, tetap menempel pada, dan dilindungi oleh Harry, Lord Voldemort tak bisa mati.	И пока этот осколок души, о котором и сам Волан-де-Морт не догадывается, живет в Гарри, под его защитой, Волан-де-Морт не может умереть. Гарри казалось, что он смотрит на собеседников из конца длинного туннеля — они были очень далеко от него, и их голоса странно отдавались в его ушах.	актив	And while that fragment of soul, unmissed by Voldemort, remains attached to, and protected by Harry, Lord Voldemort cannot die.’	пассив																						
Lingkungan sekelilingnya tidak tersembunyi oleh asap berawan; atau asap berawan belum membentuk lingkungannya.	Пространство вокруг не было затянуто облачной дымкой. Скорее, облачная дымка еще не оформилась в пространство.	пассив	His surroundings were not hidden by cloudy vapour; rather the cloudy vapour had not yet formed into surroundings.	пассив																						
"Kau Horcrux ketujuh, Harry, Horcrux yang tak pernah dimaksudkannya dibuatnya.	Дамблдор улыбнулся: – Ты был седьмым крестражем, Гарри, крестражем, который он создал невольно.	актив	‘You were the seventh Horcrux, Harry, the Horcrux he never meant to make.	актив																						
Voldemort sudah mati, terbunuh oleh kutukannya yang berbalik, dan Harry berdiri dengan dua tongkat sihir di tangannya, menunduk memandang jasad musuhnya.	Волан-де-Морт погиб, убитый собственным обратившимся вспять заклятием, а Гарри стоял с двумя волшебными палочками в руке и глядел на опустевшую оболочку своего врага.	страдательное причастие	Voldemort was dead, killed by his own rebounding curse, and Harry stood with two wands in his hand, staring down at his enemy’s shell.	past participle																						